title1,title2,address1,address2,semantic_similarity
Pirate's Den,Rendezvous II,210 S. Camac ,1308 Drury Lane ,0.43580884
Baron's Variety Lounge ,Parker Hotel Bar,1116 Walnut ,13th & Spruce,0.43574876
Baron's Variety Lounge ,Parker Hotel Bar,1116 Walnut ,13th & Spruce,0.43574876
Midway,Pirate's Den,256 S. 12th St. ,210 S. Camac ,0.43360114
Pirate's Den,Midway ,210 S. Camac ,256 S. 12th St. ,0.43360114
Pirate's Den,Midway ,210 S. Camac ,256 S. 12th St. ,0.43360114
Pirate's Den,Midway ,210 S. Camac ,256 S. 12th St. ,0.43360114
Parker Hotel Bar,SK Bar ,13th & Spruce,2 S. Mole St. ,0.43134785
Parker Hotel Bar,SK Bar ,13th & Spruce,2 S. Mole St. ,0.43134785
Baron's Variety Lounge ,P.B.L. Club ,1116 Walnut ,204 S. Quince ,0.4309723
Baron's Variety Lounge ,P.B.L Club ,1116 Walnut ,204 S. Quince ,0.4309723
Baron's Variety Lounge ,PBL Club ,1116 Walnut ,204 Quince ,0.4309723
R.D. Club,Westbury Hotel ,13th & Locust,271 S 15th St. ,0.4300915
Ritz Bar,Westbury Hotel Bar ,13th near Market,217 S. 15th St. ,0.42520508
Ritz Bar,Westbury Hotel Bar ,13th near Market,271 S. 15th St. ,0.42520508
Ritz Bar,Westbury Hotel Bar ,13th near Market,271 S. 15th St. ,0.42520487
Westbury Hotel Bar ,Ritz Bar,217 S. 15th St. ,13th near Market,0.42520487
Ritz Bar,Westbury Hotel Bar ,13th near Market,271 S. 15th St. ,0.42520487
Ritz Bar,Westbury Hotel Bar ,13th near Market,271 S. 15th St. ,0.42520487
Rusty's,Buddy's,Quince & Walnut,13th & Commerce,0.4250513
Rusty's,Buddy's,Quince & Walnut,13th & Commerce,0.42505115
R.D. Club,SK Bar ,13th & Locust,2 S. Mole St. ,0.4217477
Drury Lane ,Rittenhouse Square,1304 Drury Lane ,,0.41383776
Rittenhouse Square,Drury Lane ,,1304 Drury Lane ,0.41383767
Rittenhouse Square,Drury Lane,,1308 Drury Lane,0.41383767
